stage	quarter	match	date	winner	loser	winner_sets	loser_sets	battle	chars_of_winner	chars_of_loser
1	1	1	2023-07-07	ボンちゃん	キチパ	2	1	1	LUKE	ZANGIEF
1	1	1	2023-07-07	ときど	ストーム久保	2	1	2	KEN	EHONDA
1	1	1	2023-07-07	sako	ACQUA	3	0	3	CHUNLI	JP
1	1	2	2023-07-07	藤村	ネモ	2	0	1	KEN	JP
1	1	2	2023-07-07	ひぐち	ジョニィ	2	0	2	GUILE	MANON
1	1	2	2023-07-07	Shuto	ももち	3	2	3	MARISA	KEN
1	1	3	2023-07-07	ガチくん	GO1	2	1	1	MANON	LUKE,CHUNLI
1	1	3	2023-07-07	立川	フェンリっち	2	1	2	LUKE	JP
1	1	3	2023-07-07	かずのこ	ぷげら	3	2	3	CAMMY	DEEJAY
1	1	3	2023-07-07	立川	GO1	1	0	4	LUKE	LUKE
1	2	1	2023-07-14	ももち	板橋ザンギエフ	2	1	1	KEN	ZANGIEF
1	2	1	2023-07-14	藤村	ふ～ど	2	1	2	KEN	DEEJAY
1	2	1	2023-07-14	ヤマグチ	竹内ジョン	3	0	3	DEEJAY	JAMIE
1	2	2	2023-07-14	まちゃぼー	かずのこ	2	1	1	KEN	CAMMY
1	2	2	2023-07-14	どぐら	マゴ	2	0	2	DEEJAY	JURI
1	2	2	2023-07-14	GO1	もけ	3	1	3	LUKE	CHUNLI
1	2	3	2023-07-14	sako	KEI.B	2	1	1	CHUNLI	JP
1	2	3	2023-07-14	ボンちゃん	鶏めし	2	0	2	LUKE	DHALSIM
1	2	3	2023-07-14	ときど	あきら	3	1	3	KEN	CAMMY
1	3	1	2023-07-18	水派	カワノ	2	1	1	CAMMY	LUKE
1	3	1	2023-07-18	立川	まちゃぼー	2	0	2	LUKE	KEN
1	3	1	2023-07-18	ガチくん	もけ	3	1	3	MANON	CHUNLI
1	3	2	2023-07-18	あきら	じゃじい	2	1	1	CAMMY	LUKE
1	3	2	2023-07-18	ACQUA	オニキ	2	0	2	JP	KIMBERLY
1	3	2	2023-07-18	KEI.B	ストーム久保	3	0	3	JP	E.HONDA
1	3	3	2023-07-18	ひぐち	竹内ジョン	2	0	1	GUILE	JAMIE
1	3	3	2023-07-18	ネモ	ナウマン	2	1	2	JP	KEN
1	3	3	2023-07-18	Shuto	ふ～ど	3	2	3	MARISA	DHALSIM
1	4	1	2023-08-15	鶏めし	フェンリっち	2	0	1	DHALSIM	JP
1	4	1	2023-08-15	かずのこ	あきら	2	0	2	CAMMY	CAMMY
1	4	1	2023-08-15	どぐら	KEI.B	3	2	3	DEEJAY	JP
1	4	2	2023-08-15	ときど	ガチくん	2	1	1	KEN	RASHID
1	4	2	2023-08-15	立川	りゅうせい	2	0	2	KIMBERLY	JP
1	4	2	2023-08-15	ボンちゃん	ぷげら	3	1	3	LUKE	DEEJAY
1	4	3	2023-08-15	ストーム久保	もけ	2	0	1	E.HONDA	CHUNLI
1	4	3	2023-08-15	水派	ACQUA	2	0	2	CAMMY	JP
1	4	3	2023-08-15	マゴ	キチパ	3	1	3	CAMMY	ZANGIEF
1	5	1	2023-08-18	藤村	キチパ	2	0	1	KEN	ZANGIEF
1	5	1	2023-08-18	ヤマグチ	ストーム久保	2	1	2	DEEJAY	EHONDA
1	5	1	2023-08-18	じゃじい	ももち	3	0	3	LUKE	RASHID
1	5	1	2023-08-18	じゃじい	藤村	1	0	4	LUKE	KEN
1	5	2	2023-08-18	KEI.B	ササモ	2	1	1	JP	DEEJAY
1	5	2	2023-08-18	ネモ	鶏めし	2	1	2	JP	DHALSIM
1	5	2	2023-08-18	Shuto	あきら	3	1	3	MARISA	CAMMY
1	5	3	2023-08-18	ナウマン	りゅうせい	2	0	1	KEN	JP
1	5	3	2023-08-18	ときど	竹内ジョン	2	0	2	KEN	RASHID
1	5	3	2023-08-18	ボンちゃん	ふ～ど	3	1	3	LUKE	DEEJAY
1	6	1	2023-08-22	ネモ	GO1	2	1	1	JP	CHUNLI
1	6	1	2023-08-22	ひぐち	かずのこ	2	1	2	GUILE	CAMMY
1	6	1	2023-08-22	フェンリっち	Shuto	3	1	3	JP	MARISA
1	6	1	2023-08-22	フェンリっち	ササモ	1	0	4	JP	DEEJAY
1	6	2	2023-08-22	立川	ふ～ど	2	0	1	LUKE	DEEJAY
1	6	2	2023-08-22	ナウマン	ガチくん	2	1	2	KEN	RASHID
1	6	2	2023-08-22	ぷげら	板橋ザンギエフ	3	0	3	DEEJAY	ZANGIEF
1	6	3	2023-08-22	水派	ジョニィ	2	0	1	CAMMY	MANON
1	6	3	2023-08-22	藤村	マゴ	2	0	2	KEN	CAMMY
1	6	3	2023-08-22	もけ	ヤマグチ	3	0	3	CHUNLI	DEEJAY
1	7	1	2023-08-25	マゴ	あきら	2	1	1	CAMMY	CAMMY
1	7	1	2023-08-25	まちゃぼー	オニキ	2	0	2	KEN	KIMBERLY
1	7	1	2023-08-25	もけ	鶏めし	3	1	3	CHUNLI	DHALSIM
1	7	2	2023-08-25	カワノ	ストーム久保	2	1	1	LUKE	EHONDA
1	7	2	2023-08-25	ACQUA	立川	2	1	2	JP	DHALSIM,KIMBERLY
1	7	2	2023-08-25	じゃじい	ぷげら	3	1	3	LUKE	DEEJAY
1	7	3	2023-08-25	フェンリっち	sako	2	0	1	JP	CHUNLI
1	7	3	2023-08-25	どぐら	ボンちゃん	2	0	2	DEEJAY	LUKE
1	7	3	2023-08-25	りゅうせい	GO1	3	1	3	JP	CHUNLI
1	7	3	2023-08-25	GO1	りゅうせい	1	0	4	CHUNLI	JP
1	8	1	2023-08-29	ヤマグチ	りゅうせい	2	1	1	DEEJAY	JP
1	8	1	2023-08-29	ときど	ももち	2	0	2	KEN	LUKE
1	8	1	2023-08-29	藤村	sako	3	0	3	KEN	CHUNLI
1	8	2	2023-08-29	鶏めし	ナウマン	2	0	1	DHALSIM	KEN
1	8	2	2023-08-29	竹内ジョン	あきら	2	1	2	RASHID	CAMMY
1	8	2	2023-08-29	ふ～ど	KEI.B	3	2	3	DEEJAY	JP
1	8	3	2023-08-29	ひぐち	じゃじい	2	0	1	GUILE	LUKE
1	8	3	2023-08-29	ササモ	ストーム久保	2	0	2	DEEJAY	E.HONDA
1	8	3	2023-08-29	ACQUA	ネモ	3	2	3	JP	JP
1	8	3	2023-08-29	じゃじい	ネモ	1	0	4	LUKE	JP
1	9	1	2023-09-01	Shuto	ガチくん	2	1	1	MARISA	RASHID
1	9	1	2023-09-01	カワノ	ササモ	2	0	2	LUKE	DEEJAY
1	9	1	2023-09-01	ひぐち	立川	3	1	3	GUILE	LUKE
1	9	2	2023-09-01	ふ～ど	まちゃぼー	2	0	1	DEEJAY	KEN
1	9	2	2023-09-01	竹内ジョン	マゴ	2	0	2	RASHID	CAMMY
1	9	2	2023-09-01	もけ	板橋ザンギエフ	3	1	3	CHUNLI	ZANGIEF
1	9	2	2023-09-01	マゴ	ふ～ど	1	0	4	CAMMY	DEEJAY
1	9	3	2023-09-01	ももち	どぐら	2	1	1	LUKE	DEEJAY
1	9	3	2023-09-01	ヤマグチ	フェンリっち	2	0	2	DEEJAY	JP
1	9	3	2023-09-01	藤村	GO1	3	1	3	KEN	CHUNLI
1	10	1	2023-09-05	まちゃぼー	ボンちゃん	2	1	1	KEN	LUKE
1	10	1	2023-09-05	もけ	sako	2	1	2	CHUNLI	CHUNLI
1	10	1	2023-09-05	水派	ときど	3	1	3	CAMMY	KEN
1	10	2	2023-09-05	どぐら	キチパ	2	1	1	DEEJAY	LILY
1	10	2	2023-09-05	フェンリっち	ACQUA	2	0	2	JP	JP
1	10	2	2023-09-05	かずのこ	じゃじい	3	1	3	CAMMY	LUKE
1	10	3	2023-09-05	ぷげら	オニキ	2	1	1	JURI	KIMBERLY
1	10	3	2023-09-05	KEI.B	ガチくん	2	0	2	JP	RASHID
1	10	3	2023-09-05	あきら	カワノ	3	1	3	CAMMY	LUKE
1	11	1	2023-09-08	竹内ジョン	ACQUA	2	0	1	RASHID	JP
1	11	1	2023-09-08	ナウマン	キチパ	2	1	2	KEN	LILY
1	11	1	2023-09-08	ふ～ど	じゃじい	3	1	3	DEEJAY	LUKE
1	11	2	2023-09-08	KEI.B	ジョニィ	2	1	1	JP	MANON
1	11	2	2023-09-08	鶏めし	ももち	2	0	2	DHALSIM	LUKE
1	11	2	2023-09-08	あきら	ヤマグチ	3	1	3	CAMMY	DEEJAY
1	11	3	2023-09-08	マゴ	ひぐち	2	1	1	JURI,CAMMY	GUILE
1	11	3	2023-09-08	もけ	ネモ	2	0	2	CHUNLI	JP
1	11	3	2023-09-08	ササモ	まちゃぼー	3	0	3	DEEJAY	KEN
1	11	3	2023-09-08	ササモ	まちゃぼー	1	0	4	DEEJAY	KEN
1	12	1	2023-09-12	竹内ジョン	かずのこ	2	1	1	RASHID	CAMMY
1	12	1	2023-09-12	GO1	ナウマン	2	1	2	CHUNLI	KEN
1	12	1	2023-09-12	ふ～ど	フェンリっち	3	0	3	DEEJAY	JP
1	12	2	2023-09-12	sako	ササモ	2	1	1	CHUNLI	DEEJAY
1	12	2	2023-09-12	ネモ	ときど	2	0	2	JP	KEN
1	12	2	2023-09-12	りゅうせい	Shuto	3	1	3	JP	MARISA
1	12	3	2023-09-12	ジョニィ	ぷげら	2	1	1	MANON	DEEJAY
1	12	3	2023-09-12	ヤマグチ	カワノ	2	0	2	DEEJAY	LUKE
1	12	3	2023-09-12	藤村	ガチくん	3	2	3	KEN	RASHID
